0.01,0.01,100,100,100,Wed Aug 02 16:37:25 2017,dummy,8,1,basic latent features,ignore,none,asis,1.12784979099243,random,333,53,adaptive_cv,16,5,2,2,19,0.0107744822639878,FALSE,,,,,,,,,,
0.966,0.959,0.024,NA,NA,Mon Jan 29 00:59:43 2018,glmboost,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,8,cv,20,3,NA,5,965,no
0.97,0.965,0.02,NA,NA,Mon Jan 29 00:59:47 2018,glmnet,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,4,cv,20,3,NA,5,0.212226735427976,0.00422210176039836
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 01:03:30 2018,glmnet_h2o,1,2,bas interactive latent features,ignore,none,YeoJohnson,222
0.996,0.996,-1,0.002,0.002,Mon Jan 29 01:03:33 2018,glmStepAIC,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,none
0.996,0.996,0.003,0.002,0.002,Mon Jan 29 01:03:38 2018,icr,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,4,cv,20,3,NA,5,9
0.996,0.996,0.003,0.002,0.002,Mon Jan 29 01:03:41 2018,kernelpls,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,9
0.947,0.943,0.047,0.036,0.028,Mon Jan 29 01:08:00 2018,kknn,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,258,cv,20,3,NA,5,181,0.56568660819903,biweight
0.898,0.884,0.091,0.074,0.054,Mon Jan 29 01:08:05 2018,knn,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,4,cv,20,3,NA,5,6
0.079,0.054,0.617,0.601,0.487,Mon Jan 29 01:09:44 2018,krlsPoly,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,98,cv,20,3,NA,5,0.0135538711584069,2
0.999,0.999,0.001,0.001,0.001,Mon Jan 29 01:16:33 2018,krlsRadial,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,408,cv,20,3,NA,5,1.27396588848638e-05,858.915405926827
0.996,0.996,0.003,0.002,0.002,Mon Jan 29 01:16:36 2018,lars,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,0.964375374373049
0.984,0.98,0.012,0.013,0.008,Mon Jan 29 01:16:39 2018,lars2,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,9
0.996,0.996,0.003,0.002,0.002,Mon Jan 29 01:16:42 2018,lasso,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,0.964375374373049
0.996,0.996,0.003,0.003,0.002,Mon Jan 29 01:16:45 2018,leapBackward,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,8
0.996,0.996,0.003,0.003,0.002,Mon Jan 29 01:16:48 2018,leapForward,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,8
0.996,0.996,0.003,0.003,0.002,Mon Jan 29 01:16:51 2018,leapSeq,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,8
0.996,0.996,-1,0.002,0.002,Mon Jan 29 01:16:54 2018,lm,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,TRUE
0.996,0.996,-1,0.002,0.002,Mon Jan 29 01:16:57 2018,lmStepAIC,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,none
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 01:17:03 2018,logicBag,1,2,bas interactive latent features,ignore,none,YeoJohnson,5
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 01:17:08 2018,logreg,1,2,bas interactive latent features,ignore,none,YeoJohnson,5
0.996,0.996,0.008,0.003,0.002,Mon Jan 29 01:17:21 2018,M5,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,12,cv,20,3,NA,5,Yes,Yes,Yes
0.996,0.996,0.008,0.003,0.002,Mon Jan 29 01:17:32 2018,M5Rules,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,10,cv,20,3,NA,5,Yes,Yes
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 01:17:34 2018,mlpKerasDecay,1,2,bas interactive latent features,ignore,none,YeoJohnson,2
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 01:17:45 2018,mlpKerasDropout,1,2,bas interactive latent features,ignore,none,YeoJohnson,10
0.959,0.948,0.028,NA,NA,Mon Jan 29 01:18:00 2018,msaenet,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,15,cv,20,3,NA,5,0.270451463852078,7,0.560178312065545
Fail,Fail,Fail,Fail,PackageFail,Mon Jan 29 01:18:03 2018,mxnet,1,2,bas interactive latent features,ignore,none,YeoJohnson,3
Fail,Fail,Fail,Fail,PackageFail,Mon Jan 29 01:18:06 2018,mxnetAdam,1,2,bas interactive latent features,ignore,none,YeoJohnson,2
-0.185,-0.305,0.83,0.83,0.626,Mon Jan 29 01:18:20 2018,nnet,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,13,cv,20,3,NA,5,15,0.000135323498307065
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 01:18:24 2018,nnls,1,2,bas interactive latent features,ignore,none,YeoJohnson,3
-0.001,0,-1,0.636,0.529,Mon Jan 29 01:18:26 2018,null,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,none
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 01:18:32 2018,ordinalNet,1,2,bas interactive latent features,ignore,none,YeoJohnson,5
0.96,0.954,0.036,0.029,0.021,Mon Jan 29 01:19:12 2018,parRF,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,40,cv,20,3,NA,5,3
-0.289,-0.333,0.83,0.848,0.681,Mon Jan 29 01:19:24 2018,pcaNNet,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,11,cv,20,3,NA,5,5,9.43736937623346e-05
0.996,0.996,0.003,0.003,0.002,Mon Jan 29 01:19:27 2018,pcr,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,8
Fail,Fail,Fail,Fail,PackageFail,Mon Jan 29 01:19:30 2018,pls,1,2,bas interactive latent features,ignore,none,YeoJohnson,2
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 01:19:32 2018,plsRglm,1,2,bas interactive latent features,ignore,none,YeoJohnson,2
0.999,0.999,0.004,0.001,0,Mon Jan 29 01:19:46 2018,ppr,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,13,cv,20,3,NA,5,20
Fail,Fail,Fail,Fail,PackageFail,Mon Jan 29 01:19:49 2018,pythonKnnReg,1,2,bas interactive latent features,ignore,none,YeoJohnson,2
0.859,0.868,0.096,0.084,0.074,Mon Jan 29 01:20:41 2018,qrf,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,52,cv,20,3,NA,5,9
0.999,0.999,0,0,0,Mon Jan 29 03:07:27 2018,qrnn,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,6405,cv,20,3,NA,5,5,0,FALSE
0.972,0.968,0.027,0.021,0.015,Mon Jan 29 03:08:05 2018,ranger,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,37,cv,20,3,NA,5,6,extratrees
0.96,0.956,0.036,0.028,0.021,Mon Jan 29 03:10:10 2018,Rborist,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,124,cv,20,3,NA,5,3
0.935,0.946,0.048,0.034,0.034,Mon Jan 29 03:10:14 2018,relaxo,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,4,cv,20,3,NA,5,218.546605043466,0.266512401867658
0.96,0.955,0.036,0.029,0.021,Mon Jan 29 03:10:54 2018,rf,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,39,cv,20,3,NA,5,3
0.996,0.996,0.003,0.003,0.002,Mon Jan 29 03:10:58 2018,ridge,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,3,cv,20,3,NA,5,1.33717842101805e-05
0.996,0.996,0.003,0.002,0.002,Mon Jan 29 03:11:01 2018,rlm,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,TRUE,psi.hampel
0.903,0.894,0.085,0.067,0.051,Mon Jan 29 03:11:05 2018,rpart,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,3,cv,20,3,NA,5,3.49669175852286e-05
0.753,0.746,-1,0.162,0.131,Mon Jan 29 03:11:08 2018,rpart1SE,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,none
0.753,0.746,0.149,0.162,0.131,Mon Jan 29 03:11:11 2018,rpart2,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,7
0.997,0.996,0.003,0.003,0.002,Mon Jan 29 03:11:15 2018,rqlasso,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,3,cv,20,3,NA,5,2.49200814095057e-05
0.997,0.996,0.003,0.002,0.002,Mon Jan 29 03:11:20 2018,rqnc,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,4,cv,20,3,NA,5,0.000605409927968952,SCAD
0.96,0.956,0.036,0.028,0.021,Mon Jan 29 03:15:01 2018,RRF,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,220,cv,20,3,NA,5,3,0.582342737121508,0.0827142165508121
0.96,0.954,0.036,0.029,0.021,Mon Jan 29 03:16:42 2018,RRFglobal,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,100,cv,20,3,NA,5,3,0.582342737121508
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 03:21:36 2018,rvmLinear,1,2,bas interactive latent features,ignore,none,YeoJohnson,293
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 04:07:37 2018,rvmPoly,1,2,bas interactive latent features,ignore,none,YeoJohnson,2761
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 04:31:32 2018,rvmRadial,1,2,bas interactive latent features,ignore,none,YeoJohnson,1434
0.845,0.825,0.119,0.111,0.082,Mon Jan 29 05:05:11 2018,SBC,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2018,cv,20,3,NA,5,1,0.363087127218023,0.32718465058133
0.996,0.996,0.003,0.003,0.002,Mon Jan 29 05:05:14 2018,simpls,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2,cv,20,3,NA,5,8
0.994,0.993,0.005,0.005,0.003,Mon Jan 29 05:05:28 2018,spikeslab,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,13,cv,20,3,NA,5,9
0.996,0.996,0.003,0.002,0.002,Mon Jan 29 05:05:32 2018,spls,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,4,cv,20,3,NA,5,8,0.790802512085065,0.389534168876708
-1.961,-1.462,1.56,NA,NA,Mon Jan 29 05:05:36 2018,superpc,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,3,cv,20,3,NA,5,0.0660915761254728,3
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 05:05:39 2018,svmBoundrangeString,1,2,bas interactive latent features,ignore,none,YeoJohnson,2
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 05:05:41 2018,svmExpoString,1,2,bas interactive latent features,ignore,none,YeoJohnson,2
NA,NA,0.042,NA,NA,Mon Jan 29 05:05:45 2018,svmLinear,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,3,cv,20,3,NA,5,0.0388881226242331
0.928,0.934,0.042,0.042,0.038,Mon Jan 29 05:05:49 2018,svmLinear2,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,3,cv,20,3,NA,5,0.0388881226242331
0.893,0.899,0.065,0.064,0.056,Mon Jan 29 05:05:54 2018,svmLinear3,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,5,cv,20,3,NA,5,624.911243569355,L2
NA,NA,0.036,NA,NA,Mon Jan 29 05:06:01 2018,svmPoly,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,5,cv,20,3,NA,5,2,0.194698950170669,7.26316439013995
NA,NA,0.093,NA,NA,Mon Jan 29 05:06:07 2018,svmRadial,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,6,cv,20,3,NA,5,0.115936297944743,3.42325501254371
NA,NA,0.093,NA,NA,Mon Jan 29 05:06:14 2018,svmRadialCost,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,6,cv,20,3,NA,5,12.5987410258216
NA,NA,0.093,NA,NA,Mon Jan 29 05:06:20 2018,svmRadialSigma,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,6,cv,20,3,NA,5,0.115936297944743,3.42325501254371
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 05:06:23 2018,svmSpectrumString,1,2,bas interactive latent features,ignore,none,YeoJohnson,2
0.797,0.79,-1,0.134,0.107,Mon Jan 29 05:06:27 2018,treebag,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,3,cv,20,3,NA,5,none
0.996,0.996,0.003,0.003,0.002,Mon Jan 29 05:07:54 2018,widekernelpls,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,71,cv,20,3,NA,5,8
0.896,0.888,0.083,0.071,0.055,Mon Jan 29 05:52:32 2018,WM,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,2678,cv,20,3,NA,5,15,GAUSSIAN
0.956,0.952,0.038,0.03,0.023,Mon Jan 29 05:52:51 2018,xgbLinear,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,17,cv,20,3,NA,5,50,0.0484757299820691,1.6731269254036e-05,1.55137279978953
0.908,0.89,0.085,0.07,0.048,Mon Jan 29 05:55:49 2018,xgbTree,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,177,cv,20,3,NA,5,587,8,0.178454145462951,0.541072806809098,0.52155091445893,17,0.781066464900505
NA,NA,0.129,NA,NA,Mon Jan 29 05:56:18 2018,xyf,1,2,bas interactive latent features,ignore,none,YeoJohnson,0.636008142474477,random,320,28,cv,20,3,NA,5,12,20,0.108564865211956,hexagonal
-0.176,-0.264,0.836,0.811,0.62,Mon Jan 29 05:57:28 2018,avNNet,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,68,cv,20,3,NA,5,6,0.000346599145304417,FALSE
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 05:57:32 2018,bag,1,1,bas interactive latent features,ignore,none,ICA,3
0.967,0.965,0.021,0.022,0.017,Mon Jan 29 05:58:11 2018,bagEarth,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,39,cv,20,3,NA,5,7,2
0.968,0.966,-1,0.022,0.017,Mon Jan 29 05:58:43 2018,bagEarthGCV,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,6,cv,20,3,NA,5,1
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 05:59:16 2018,bam,1,1,bas interactive latent features,ignore,none,ICA,7
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 05:59:18 2018,bartMachine,1,1,bas interactive latent features,ignore,none,ICA,2
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 05:59:21 2018,bayesglm,1,1,bas interactive latent features,ignore,none,ICA,2
0.996,0.995,0.003,NA,NA,Mon Jan 29 05:59:32 2018,blasso,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,11,cv,20,3,NA,5,0.896093796938658
0.996,0.995,-1,NA,NA,Mon Jan 29 05:59:44 2018,blassoAveraged,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,11,cv,20,3,NA,5,none
0.996,0.995,-1,NA,NA,Mon Jan 29 05:59:55 2018,bridge,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,10,cv,20,3,NA,5,none
0.758,0.717,0.202,NA,NA,Mon Jan 29 06:01:02 2018,BstLm,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,66,cv,20,3,NA,5,386,0.583738032689551
0.943,0.934,0.052,0.043,0.03,Mon Jan 29 06:02:39 2018,cforest,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,96,cv,20,3,NA,5,4
0.891,0.886,0.081,0.073,0.057,Mon Jan 29 06:02:45 2018,ctree,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,5,cv,20,3,NA,5,0.643566303187981
0.891,0.886,0.081,0.073,0.057,Mon Jan 29 06:02:51 2018,ctree2,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,5,cv,20,3,NA,5,7,0.188421404920518
0.998,0.997,0.002,0.002,0.001,Mon Jan 29 06:06:13 2018,cubist,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,202,cv,20,3,NA,5,97,4
-5.088,-4.097,0.666,NA,NA,Mon Jan 29 06:06:23 2018,dnn,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,9,cv,20,3,NA,5,9,7,17,0.562240751809441,0.584846826293506
0.967,0.965,0.023,0.023,0.018,Mon Jan 29 06:06:28 2018,earth,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,4,cv,20,3,NA,5,7,2
0.996,0.996,0.003,NA,NA,Mon Jan 29 06:06:31 2018,elm,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,17,purelin
0.993,0.992,0.006,NA,NA,Mon Jan 29 06:06:35 2018,enet,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,3,cv,20,3,NA,5,0.981504595139995,0.000123711711554182
0.862,0.857,0.11,0.092,0.073,Mon Jan 29 06:45:55 2018,evtree,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2359,cv,20,3,NA,5,1.18260907568038
0.973,0.967,0.024,0.021,0.014,Mon Jan 29 06:50:24 2018,extraTrees,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,268,cv,20,3,NA,5,5,6
0.993,0.992,0.006,NA,NA,Mon Jan 29 06:50:28 2018,foba,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,3,cv,20,3,NA,5,9,0.000123711711554182
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 06:50:36 2018,gam,1,1,bas interactive latent features,ignore,none,ICA,7
0.982,0.98,0.013,0.013,0.01,Mon Jan 29 06:56:53 2018,gamboost,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,376,cv,20,3,NA,5,897,no
0.997,0.997,0.002,NA,NA,Mon Jan 29 06:57:22 2018,gamSpline,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,28,cv,20,3,NA,5,4.48046898469329
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 06:57:26 2018,gaussprLinear,1,1,bas interactive latent features,ignore,none,ICA,3
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 07:03:47 2018,gaussprPoly,1,1,bas interactive latent features,ignore,none,ICA,380
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 07:03:52 2018,gaussprRadial,1,1,bas interactive latent features,ignore,none,ICA,4
0.968,0.964,0.026,0.023,0.017,Mon Jan 29 07:06:16 2018,gbm,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,144,cv,20,3,NA,5,1331,10,0.0814214836398605,6
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 07:10:05 2018,gbm_h2o,1,1,bas interactive latent features,ignore,none,ICA,228
0.967,0.965,-1,0.023,0.018,Mon Jan 29 07:10:08 2018,gcvEarth,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,1
0.996,0.996,-1,NA,NA,Mon Jan 29 07:10:11 2018,glm,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,none
0.996,0.996,0.003,NA,NA,Mon Jan 29 07:10:15 2018,glm.nb,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,4,cv,20,3,NA,5,identity
0.968,0.966,0.026,0.022,0.017,Mon Jan 29 07:10:25 2018,glmboost,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,8,cv,20,3,NA,5,897,no
0.975,0.973,0.021,0.017,0.013,Mon Jan 29 07:10:29 2018,glmnet,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,4,cv,20,3,NA,5,0.403459238819778,0.00533416535727926
Fail,Fail,Fail,Fail,Fail,Mon Jan 29 07:14:12 2018,glmnet_h2o,1,1,bas interactive latent features,ignore,none,ICA,222
0.996,0.996,-1,NA,NA,Mon Jan 29 07:14:15 2018,glmStepAIC,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,none
0.996,0.996,0.003,NA,NA,Mon Jan 29 07:14:21 2018,icr,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,5,cv,20,3,NA,5,9
0.996,0.996,0.003,NA,NA,Mon Jan 29 07:14:24 2018,kernelpls,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,9
0.946,0.941,0.047,0.038,0.028,Mon Jan 29 07:18:38 2018,kknn,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,253,cv,20,3,NA,5,46,1.05515009933151,triweight
0.886,0.87,0.105,0.083,0.06,Mon Jan 29 07:18:43 2018,knn,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,4,cv,20,3,NA,5,12
0.097,0.053,0.617,0.608,0.476,Mon Jan 29 07:20:23 2018,krlsPoly,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,99,cv,20,3,NA,5,0.00169764926026995,3
0.999,0.999,0.001,0.001,0,Mon Jan 29 07:26:57 2018,krlsRadial,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,394,cv,20,3,NA,5,1.6914584913449e-05,129.806069581587
0.996,0.996,0.003,NA,NA,Mon Jan 29 07:27:01 2018,lars,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,0.896093796938658
0.985,0.984,0.013,NA,NA,Mon Jan 29 07:27:04 2018,lars2,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,9
0.996,0.996,0.003,NA,NA,Mon Jan 29 07:27:07 2018,lasso,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,0.896093796938658
0.996,0.996,0.003,NA,NA,Mon Jan 29 07:27:10 2018,leapBackward,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,8
0.996,0.996,0.003,NA,NA,Mon Jan 29 07:27:13 2018,leapForward,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,8
0.996,0.996,0.003,NA,NA,Mon Jan 29 07:27:16 2018,leapSeq,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,8
0.996,0.996,-1,NA,NA,Mon Jan 29 07:27:18 2018,lm,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,TRUE
0.996,0.996,-1,NA,NA,Mon Jan 29 07:27:21 2018,lmStepAIC,1,1,bas interactive latent features,ignore,none,ICA,0.641869415620621,random,225,2,cv,20,3,NA,5,none
